type,text,score,color
plus,まったく当てはまらない,1,1
plus,あまり当てはまらない,2,2
plus,どちらとも言えない,3,3
plus,やや当てはまる,4,4
plus,とても当てはまる,5,5
minus,まったく当てはまらない,5,1
minus,あまり当てはまらない,4,2
minus,どちらとも言えない,3,3
minus,やや当てはまる,2,4
minus,とても当てはまる,1,5
